"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2019","16.66","16.80","16.85","16.61","8.31M","0.00%"
"Nov 13, 2019","16.66","16.60","16.81","16.60","12.35M","1.34%"
"Nov 12, 2019","16.44","16.35","16.51","16.07","11.94M","0.37%"
"Nov 11, 2019","16.38","16.34","16.57","16.32","9.76M","0.06%"
"Nov 08, 2019","16.37","16.23","16.53","16.13","14.32M","0.06%"
"Nov 07, 2019","16.36","16.90","16.90","16.20","15.80M","-3.20%"
"Nov 06, 2019","16.90","16.89","17.16","16.78","13.26M","2.18%"
"Nov 05, 2019","16.54","16.34","16.59","16.18","18.00M","-0.60%"
"Nov 04, 2019","16.64","16.92","17.03","16.62","12.56M","-2.18%"
"Nov 01, 2019","17.01","17.22","17.32","16.91","12.85M","-2.02%"
"Oct 31, 2019","17.36","17.29","17.48","17.16","13.05M","1.82%"
"Oct 30, 2019","17.05","16.78","17.06","16.55","11.50M","1.67%"
"Oct 29, 2019","16.77","16.55","16.87","16.43","8.70M","0.30%"
"Oct 28, 2019","16.72","17.00","17.03","16.64","10.43M","-2.79%"
"Oct 25, 2019","17.20","17.55","17.63","17.04","9.81M","0.17%"
"Oct 24, 2019","17.17","16.63","17.21","16.58","14.73M","3.62%"
"Oct 23, 2019","16.57","16.79","16.90","16.50","10.65M","-0.18%"
"Oct 22, 2019","16.60","16.91","16.98","16.43","12.51M","-1.37%"
"Oct 21, 2019","16.83","17.18","17.27","16.75","8.86M","-2.09%"
"Oct 18, 2019","17.19","17.30","17.39","17.01","8.29M","0.59%"
"Oct 17, 2019","17.09","16.83","17.35","16.81","10.39M","0.89%"
"Oct 16, 2019","16.94","16.77","16.95","16.55","10.29M","1.68%"
"Oct 15, 2019","16.66","17.00","17.08","16.60","17.83M","-2.57%"
"Oct 14, 2019","17.10","17.00","17.30","17.00","7.37M","0.59%"
"Oct 11, 2019","17.00","17.73","17.74","16.95","19.59M","-5.08%"
"Oct 10, 2019","17.91","17.87","17.95","17.50","14.68M","0.22%"
"Oct 09, 2019","17.87","17.94","18.05","17.72","8.13M","-1.05%"
"Oct 08, 2019","18.06","17.94","18.21","17.82","10.79M","2.50%"
"Oct 07, 2019","17.62","17.63","17.86","17.51","8.14M","-0.73%"
"Oct 04, 2019","17.75","17.24","17.77","17.20","11.51M","2.84%"
"Oct 03, 2019","17.26","17.40","17.93","17.20","14.92M","-0.63%"
"Oct 02, 2019","17.37","17.41","17.62","17.16","18.56M","0.87%"
"Oct 01, 2019","17.22","17.16","17.59","17.03","19.54M","-0.63%"
"Sep 30, 2019","17.33","17.30","17.55","17.00","15.00M","-2.26%"
"Sep 27, 2019","17.73","17.74","17.88","17.55","13.24M","-2.04%"
"Sep 26, 2019","18.10","18.29","18.38","18.05","8.86M","-0.44%"
"Sep 25, 2019","18.18","18.70","18.76","17.99","13.42M","-3.35%"
"Sep 24, 2019","18.81","18.48","18.85","18.32","15.89M","1.13%"
"Sep 23, 2019","18.60","18.55","18.69","18.42","14.05M","0.92%"
"Sep 20, 2019","18.43","18.34","18.47","17.87","19.69M","0.71%"
"Sep 19, 2019","18.30","17.84","18.35","17.84","17.66M","3.74%"
"Sep 18, 2019","17.64","17.98","18.06","17.20","17.25M","-2.11%"
"Sep 17, 2019","18.02","17.33","18.17","17.27","22.91M","5.38%"
"Sep 16, 2019","17.10","17.35","17.45","17.02","20.11M","-0.75%"
"Sep 13, 2019","17.23","17.35","17.41","17.03","23.08M","0.58%"
"Sep 12, 2019","17.13","17.91","18.12","17.10","21.64M","-1.21%"
"Sep 11, 2019","17.34","17.21","17.67","17.18","16.40M","0.52%"
"Sep 10, 2019","17.25","17.19","17.58","16.93","17.99M","-0.92%"
"Sep 09, 2019","17.41","17.91","17.93","17.17","20.41M","-2.57%"
"Sep 06, 2019","17.87","18.39","18.67","17.86","25.96M","-2.88%"
"Sep 05, 2019","18.40","19.39","19.46","18.08","29.15M","-7.40%"
"Sep 04, 2019","19.87","19.38","19.89","19.27","12.61M","2.32%"
"Sep 03, 2019","19.42","19.60","19.68","19.34","19.73M","0.21%"
"Aug 30, 2019","19.38","19.08","19.50","19.04","13.91M","0.52%"
"Aug 29, 2019","19.28","19.85","19.85","19.18","21.13M","-3.31%"
"Aug 28, 2019","19.94","19.77","20.07","19.58","18.50M","0.86%"
"Aug 27, 2019","19.77","19.33","19.85","19.33","19.10M","2.75%"
"Aug 26, 2019","19.24","19.25","19.48","19.03","13.72M","0.52%"
"Aug 23, 2019","19.14","18.84","19.25","18.73","18.27M","2.13%"
"Aug 22, 2019","18.74","18.55","18.79","18.50","10.08M","0.54%"
"Aug 21, 2019","18.64","18.54","18.77","18.41","10.34M","-0.27%"
"Aug 20, 2019","18.69","18.20","18.72","18.18","13.84M","3.26%"
"Aug 19, 2019","18.10","18.03","18.41","17.88","23.46M","-1.58%"
"Aug 16, 2019","18.39","18.19","18.42","18.02","17.41M","0.00%"
"Aug 15, 2019","18.39","18.14","18.39","17.98","13.57M","1.16%"
